# t,event_type,mode,packet_id
5.24,plantsend,1,262
5.24797,controllerreceive,1,262
5.25688,plantreceive,1,262
5.26,plantsend,1,263
5.26906,controllerreceive,1,263
5.27813,plantreceive,1,263
5.28,plantsend,1,264
5.28847,controllerreceive,1,264
5.29741,plantreceive,1,264
5.3,plantsend,1,265
5.30758,controllerreceive,1,265
5.31638,plantreceive,1,265
5.32,plantsend,1,266
5.3291,controllerreceive,1,266
5.33778,plantreceive,1,266
5.34,plantsend,1,267
5.34811,controllerreceive,1,267
5.35711,plantreceive,1,267
5.36,plantsend,1,268
5.36912,controllerreceive,1,268
5.37795,plantreceive,1,268
5.38,plantsend,1,269
5.38823,controllerreceive,1,269
5.39715,plantreceive,1,269
5.4,plantsend,1,270
5.40806,controllerreceive,1,270
5.41684,plantreceive,1,270
5.42,plantsend,1,271
5.42786,controllerreceive,1,271
5.43684,plantreceive,1,271
5.44,plantsend,1,272
5.4486,controllerreceive,1,272
5.45762,plantreceive,1,272
5.46,plantsend,1,273
5.46844,controllerreceive,1,273
5.47527,plantreceive,1,273
5.48,plantsend,1,274
5.48925,controllerreceive,1,274
5.49812,plantreceive,1,274
5.5,plantsend,1,275
5.50881,controllerreceive,1,275
5.51762,plantreceive,1,275
5.52,plantsend,1,276
5.52826,controllerreceive,1,276
5.53694,plantreceive,1,276
5.54,plantsend,1,277
5.54945,controllerreceive,1,277
5.55831,plantreceive,1,277
5.56,plantsend,1,278
5.56791,controllerreceive,1,278
5.57682,plantreceive,1,278
5.58,plantsend,1,279
5.58839,controllerreceive,1,279
5.59738,plantreceive,1,279
5.6,plantsend,1,280
5.6117,controllerreceive,1,280
5.62,plantsend,1,281
5.62043,plantreceive,1,280
5.62821,controllerreceive,1,281
5.63705,plantreceive,1,281
5.64,plantsend,1,282
5.6479,controllerreceive,1,282
5.6566,plantreceive,1,282
5.66,plantsend,1,283
5.66793,controllerreceive,1,283
5.67666,plantreceive,1,283
5.68,plantsend,1,284
5.68929,controllerreceive,1,284
5.69817,plantreceive,1,284
5.7,plantsend,1,285
5.70789,controllerreceive,1,285
5.71658,plantreceive,1,285
5.72,plantsend,1,286
5.72898,controllerreceive,1,286
5.73796,plantreceive,1,286
5.74,plantsend,1,287
5.74934,controllerreceive,1,287
5.75812,plantreceive,1,287
5.76,plantsend,1,288
5.76814,controllerreceive,1,288
5.777,plantreceive,1,288
5.78,plantsend,1,289
5.78859,controllerreceive,1,289
5.79747,plantreceive,1,289
5.8,plantsend,1,290
5.80776,controllerreceive,1,290
5.81664,plantreceive,1,290
5.82,plantsend,1,291
5.83032,controllerreceive,1,291
5.83896,plantreceive,1,291
5.84,plantsend,1,292
5.84755,controllerreceive,1,292
5.8563,plantreceive,1,292
5.86,plantsend,1,293
5.86868,controllerreceive,1,293
5.87752,plantreceive,1,293
5.88,plantsend,1,294
5.88836,controllerreceive,1,294
5.89711,plantreceive,1,294
5.9,plantsend,1,295
5.90742,controllerreceive,1,295
5.91624,plantreceive,1,295
5.92,plantsend,1,296
5.92735,controllerreceive,1,296
5.93601,plantreceive,1,296
5.94,plantsend,1,297
5.94943,controllerreceive,1,297
5.95625,plantreceive,1,297
5.96,plantsend,1,298
5.96799,controllerreceive,1,298
5.97678,plantreceive,1,298
5.98,plantsend,1,299
5.98828,controllerreceive,1,299
5.99718,plantreceive,1,299
6.0,plantsend,1,300
6.0085,controllerreceive,1,300
6.01722,plantreceive,1,300
6.02,plantsend,1,301
6.02825,controllerreceive,1,301
6.03708,plantreceive,1,301
6.04,plantsend,1,302
6.04917,controllerreceive,1,302
6.05786,plantreceive,1,302
6.06,plantsend,1,303
6.06818,controllerreceive,1,303
6.07716,plantreceive,1,303
6.08,plantsend,1,304
6.08811,controllerreceive,1,304
6.09689,plantreceive,1,304
6.1,plantsend,1,305
6.10867,controllerreceive,1,305
6.11751,plantreceive,1,305
6.12,plantsend,1,306
6.12764,controllerreceive,1,306
6.13652,plantreceive,1,306
6.14,plantsend,1,307
6.14837,controllerreceive,1,307
6.15738,plantreceive,1,307
6.16,plantsend,1,308
6.16801,controllerreceive,1,308
